,dataset_name,method,theta,max,SSE,Total_time
197,Syn_n_50000_d_2_seed_6,asc,1.05,10.0,823963.3003427138,28.42497444152832
198,Syn_n_50000_d_2_seed_6,asc,1.05,20.0,823963.3003427137,29.77170157432556
199,Syn_n_50000_d_2_seed_6,asc,1.05,50.0,823963.3003427137,29.810325145721436
200,Syn_n_50000_d_2_seed_6,asc,1.1,5.0,823990.9023990646,12.122611045837402
201,Syn_n_50000_d_2_seed_6,asc,1.1,10.0,823963.3003427145,15.086219072341919
202,Syn_n_50000_d_2_seed_6,asc,1.1,20.0,823963.3003427148,14.683696508407593
203,Syn_n_50000_d_2_seed_6,asc,1.1,50.0,823963.3003427148,16.467986345291138
204,Syn_n_50000_d_2_seed_6,asc,1.2,5.0,823991.371739919,5.678811550140381
205,Syn_n_50000_d_2_seed_6,asc,1.2,10.0,823963.3003427146,7.944772958755493
206,Syn_n_50000_d_2_seed_6,asc,1.2,20.0,823963.3003427149,9.077806949615479
207,Syn_n_50000_d_2_seed_6,asc,1.2,50.0,823963.3003427149,10.71936583518982
208,Syn_n_50000_d_2_seed_6,asc,1.5,5.0,823984.7399849516,3.313138961791992
209,Syn_n_50000_d_2_seed_6,asc,1.5,10.0,823963.3003427148,4.467021465301514
210,Syn_n_50000_d_2_seed_6,asc,1.5,20.0,823963.3003427149,5.170202255249023
211,Syn_n_50000_d_2_seed_6,asc,1.5,50.0,823963.3003427149,6.700049161911011
212,Syn_n_50000_d_2_seed_6,asc,2.0,5.0,823959.4772570245,2.939169406890869
213,Syn_n_50000_d_2_seed_6,asc,2.0,10.0,823963.300342715,3.3363053798675537
214,Syn_n_50000_d_2_seed_6,asc,2.0,20.0,823967.0198840431,4.018251419067383
215,Syn_n_50000_d_2_seed_6,asc,2.0,50.0,823967.0198840428,5.0749852657318115
216,Syn_n_50000_d_2_seed_6,asc,5.0,5.0,823980.4462510927,2.0405423641204834
217,Syn_n_50000_d_2_seed_6,asc,5.0,10.0,823966.9254016473,2.2769076824188232
218,Syn_n_50000_d_2_seed_6,asc,5.0,20.0,823967.0198840429,2.494297504425049
219,Syn_n_50000_d_2_seed_6,asc,5.0,50.0,823967.0198840427,3.1286630630493164
220,Syn_n_50000_d_2_seed_6,asc,10.0,5.0,823968.4768892264,2.2933764457702637
221,Syn_n_50000_d_2_seed_6,asc,10.0,10.0,823953.5023083279,2.03159761428833
222,Syn_n_50000_d_2_seed_6,asc,10.0,20.0,823938.6668639497,2.200150966644287
223,Syn_n_50000_d_2_seed_6,asc,10.0,50.0,823934.2918951409,2.5860519409179688
224,Syn_n_50000_d_2_seed_7,asc,1.01,5.0,825516.2643472232,83.86596083641052
225,Syn_n_50000_d_2_seed_7,asc,1.01,10.0,825516.2643472237,83.38146924972534
226,Syn_n_50000_d_2_seed_7,asc,1.01,20.0,825513.7416790253,89.37856841087341
227,Syn_n_50000_d_2_seed_7,asc,1.01,50.0,825512.1282970583,96.20627164840698
228,Syn_n_50000_d_2_seed_7,asc,1.05,5.0,825526.4803733884,26.09672260284424
229,Syn_n_50000_d_2_seed_7,asc,1.05,10.0,825526.4803733887,30.733800649642944
230,Syn_n_50000_d_2_seed_7,asc,1.05,20.0,825517.157777723,31.926186084747314
231,Syn_n_50000_d_2_seed_7,asc,1.05,50.0,825512.1282970608,31.94706678390503
232,Syn_n_50000_d_2_seed_7,asc,1.1,5.0,825527.543705551,16.670286893844604
233,Syn_n_50000_d_2_seed_7,asc,1.1,10.0,825526.4803733893,19.44899034500122
234,Syn_n_50000_d_2_seed_7,asc,1.1,20.0,825517.1577777233,20.592923164367676
235,Syn_n_50000_d_2_seed_7,asc,1.1,50.0,825512.1282970613,21.801705598831177
